tstamp,period,sector,subsample,D+,p+,D-,p-,D,p,nflares,totobs_days,phaseshift
2021-09-02,Orbit,Sector 1,total,0.061081758225563,0.549276611157585,0.12194097490881,0.098988363078391,0.12194097490881,0.197800362571595,75,25.1305555555556,0.8
2021-09-02,Orbit,Sector 1,total,0.028544268818393,0.868609871441157,0.15447846431598,0.024931611757777,0.15447846431598,0.049862610462268,75,25.1305555555556,0.9
2021-09-02,Orbit,Sector 27,total,0.093281169887871,0.129228275407852,0.058737864754007,0.438297379224923,0.093281169887871,0.257922196262296,114,23.3185185185185,0
2021-09-02,Orbit,Sector 27,total,0.061774985231503,0.402399497791611,0.090244049410375,0.147073542551116,0.090244049410375,0.293245637984451,114,23.3185185185185,0.1
2021-09-02,Orbit,Sector 27,total,0.059781586470942,0.425815998963685,0.092237448170936,0.135167119919676,0.092237448170936,0.269693415195201,114,23.3185185185185,0.2
2021-09-02,Orbit,Sector 27,total,0.134954628669832,0.014240065668763,0.017064405972046,0.925209755130232,0.134954628669832,0.028480064158631,114,23.3185185185185,0.3
2021-09-02,Orbit,Sector 27,total,0.071236053523262,0.300122201818081,0.080782981118616,0.214152616221769,0.080782981118616,0.424197903824593,114,23.3185185185185,0.4
2021-09-02,Orbit,Sector 27,total,0.060016523997414,0.423026803893897,0.092002510644464,0.136531680365483,0.092002510644464,0.272395974962693,114,23.3185185185185,0.5
2021-09-02,Orbit,Sector 27,total,0.043939761251923,0.625747387046116,0.108079273389955,0.064746709690768,0.108079273389955,0.129460959884536,114,23.3185185185185,0.6
2021-09-02,Orbit,Sector 27,total,0.043018471767092,0.637661348519488,0.109000562874785,0.061812955840613,0.109000562874785,0.123599025165239,114,23.3185185185185,0.7
2021-09-02,Orbit,Sector 27,total,0.020582025067433,0.895767324667421,0.131437009574444,0.017696672879975,0.131437009574444,0.035393182085928,114,23.3185185185185,0.8
2021-09-02,Orbit,Sector 27,total,0.060968116765867,0.411808704020255,0.091050917876011,0.142164105840755,0.091050917876011,0.283542344301152,114,23.3185185185185,0.9
2021-09-02,Orbit,Both Sectors,high energy half,0.043181877893153,0.746170701345879,0.183817511236403,0.007132775215916,0.183817511236403,0.014265547159876,71,48.4490740740741,0
2021-09-02,Orbit,Both Sectors,high energy half,0.037257719628114,0.801407295883604,0.189741669501442,0.005167488968975,0.189741669501442,0.010334977094887,71,48.4490740740741,0.1
2021-09-02,Orbit,Both Sectors,high energy half,0.106818355177857,0.184404826802445,0.120181033951698,0.118660416428279,0.120181033951698,0.236953179628951,71,48.4490740740741,0.2
2021-09-02,Orbit,Both Sectors,high energy half,0.212914882087302,0.001324418982304,0.014084507042254,0.96250857125044,0.212914882087302,0.002648837962014,71,48.4490740740741,0.3
2021-09-02,Orbit,Both Sectors,high energy half,0.131148488061366,0.07951138139155,0.09585090106819,0.254829601172795,0.131148488061366,0.158951099533069,71,48.4490740740741,0.4
2021-09-02,Orbit,Both Sectors,high energy half,0.105373867286636,0.192811173332816,0.121625521842919,0.112789583330702,0.121625521842919,0.225280218795661,71,48.4490740740741,0.5
2021-09-02,Orbit,Both Sectors,high energy half,0.035577365039928,0.816365797527948,0.191422024089627,0.00470706584466,0.191422024089627,0.009414131120562,71,48.4490740740741,0.6
2021-09-02,Orbit,Both Sectors,high energy half,0.02973677503063,0.865024786984393,0.197262614098926,0.003380923421696,0.197262614098926,0.006761846703,71,48.4490740740741,0.7
2021-09-02,Orbit,Both Sectors,high energy half,0.007304329208649,0.987842917277392,0.219695059920907,0.000862538076644,0.219695059920907,0.00172507615288,71,48.4490740740741,0.8
2021-09-02,Orbit,Both Sectors,high energy half,0.034559202835298,0.825244716184807,0.192440186294257,0.004446466889978,0.192440186294257,0.008892933332738,71,48.4490740740741,0.9
